办公室	办公室
安防智能化体系	安防智能化体系
避难层	避难层
餐厅	餐厅
饭厅	餐厅
仓库	仓库
茶艺室	茶艺室
车库	车库
厨房	厨房
厨房间	厨房
橱房	厨房
西厨	厨房
储藏间	储藏室
储藏室	储藏室
储物间	储藏室
杂物间	储藏室
大堂	大堂
地下室	地下室
电梯厅	电梯厅
电梯系统	电梯系统
儿童房	儿童房
房间环保	房间环保
风机房	风机房
阁楼	阁楼
给排水	给排水系统
给排水系统	给排水系统
排水	给排水系统
工具房	工具房
大门口	公共区域
大门外	公共区域
公共区域	公共区域
家门口	公共区域
监控室	公共区域
门岗	公共区域
电器类	家用电器
家用电器	家用电器
家政间	家政间
架空层	架空层
教室	教室
大客厅	客厅
大厅	客厅
客厅	客厅
小厅	客厅
空调室	空调室
老人房	老人房
过道	连廊
连廊	连廊
走道	连廊
走廊	连廊
房顶	楼顶
楼顶	楼顶
天台	楼顶
屋顶	楼顶
楼梯	楼梯间
露台	阳台
门厅	门厅
炮楼	炮楼
小炮楼	炮楼
配电房	配电房
暗房	其他功能房间
玻璃房	其他功能房间
功能房	其他功能房间
其他功能房间	其他功能房间
燃气设备系统	燃气设备系统
进户	入户玄关
进门	入户玄关
进门处	入户玄关
入户	入户玄关
入户门	入户玄关
入户门口	入户玄关
入户玄关	入户玄关
玄关	入户玄关
商铺	商铺
房间	室内
房屋	室内
户内	室内
家里	室内
家中	室内
全房	室内
全屋	室内
室内	室内
屋内	室内
家	室内
室外设施	室外设施
南书房	书房
书房	书房
南院	庭院
庭院	庭院
小院	庭院
院内	庭院
院外	庭院
地下通道	通道
通道口	通道
消防通道	通道
厕所	卫生间
冲凉房	卫生间
厨卫间	卫生间
次卫	卫生间
公厕	卫生间
公卫	卫生间
盥洗区	卫生间
盥洗室	卫生间
客卫	卫生间
淋浴房	卫生间
淋浴间	卫生间
淋浴室	卫生间
门生间	卫生间
沐浴房	卫生间
内卫	卫生间
卫生间	卫生间
卫生巾	卫生间
洗脸间	卫生间
洗手间	卫生间
洗手間	卫生间
洗手区	卫生间
洗漱间	卫生间
洗漱区	卫生间
洗衣房	卫生间
洗衣间	卫生间
洗浴房	卫生间
洗浴室	卫生间
洗澡房	卫生间
洗澡间	卫生间
浴房	卫生间
浴区	卫生间
浴室	卫生间
主卫	卫生间
主位	卫生间
座便间	卫生间
北房	卧室
北卧	卧室
侧卧	卧室
次房	卧室
次卧	卧室
次卧室	卧室
大房	卧室
东北卧	卧室
客房	卧室
客卧	卧室
南卧	卧室
南屋	卧室
起居室	卧室
前室	卧室
卧处	卧室
卧房	卧室
卧室	卧室
西北卧	卧室
厢房	卧室
小房间	卧室
小卧室	卧室
休息室	卧室
衣帽间	卧室
主次卧	卧室
主人房	卧室
主卧	卧室
主卧房	卧室
主屋	卧室
消防系统	消防系统
新能源系统	新能源系统
影音室	影音室
园建	园林绿化
园林绿化	园林绿化
入户门外	公共区域
栋楼	公共区域
正门口	公共区域
小阳台	阳台
安防系统	安防智能化体系
安防	安防智能化体系
大阳台	阳台
沐浴间	卫生间
浴间	卫生间
楼梯	楼梯间
墙面上	墙面装饰类
家具	家具配套类
办公区	商业办公区
小次卧	卧室
小卧	卧室
房间	卧室
主政卧	卧室
北室	卧室
过房	卧室
淋卫间	卫生间
公共卫	卫生间
主卫间	卫生间
西北间	卧室
手间	卫生间
主浴室	卫生间
屋里	卧室
次卧房	卧室
房内	卧室
厨内	厨房
坐厕	卫生间
坐便间	卫生间
贮藏室	储藏室
贮藏间	储藏室
住户门	公共区域
主阳台	阳台
主洗手间	卫生间
主屋室	室内
主卧卫	卫生间
主卧室内	卧室
主卧内	卧室
主卧间	卧室
主卧房间	卧室
主卫室	卫生间
主卫生间	卫生间
主卫房	卫生间
主通道	通道
主室	室内
主人卧室	卧室
主人卧	卧室
主人卫	卫生间
主人间	室内
主人房内	室内
主人房间	室内
主寝室	室内
主内卫	卫生间
主门	公共区域
主楼	室内
主客卧	卧室
主客卫生间	卫生间
主客卫	卫生间
主客厅	客厅
主客房	室内
主公卫	卫生间
主公共区域	公共区域
主房间	室内
主房顶	楼顶
主房	室内
主道	通道
主次卧室内	卧室
主次卧室	卧室
主次卧间	卧室
主次卧房	卧室
主次卫生间	卫生间
主厨房	厨房
主侧卧	卧室
主厕	卫生间
中厅	门厅
智能系统	安防智能化体系
杂院	庭院
杂物房	其他功能房间
院中	庭院
院屋	室内
院里	庭院
浴室内	卫生间
浴室间	卫生间
浴室房	卫生间
浴区域	卫生间
浴楼	卫生间
浴淋房	卫生间
浴房内	卫生间
衣政间	其他功能房间
衣㡌间	其他功能房间
阳卧	卧室
阳台室	阳台
阳台间	阳台
循环系统	循环系统
玄门	公共区域
玄灯	入户玄关
小院院	庭院
小院内	庭院
小浴室	卫生间
小玄关	入户玄关
小洗手间	卫生间
小屋	室内
小卧房	卧室
小卫生间	卫生间
小卫	卫生间
小通道	通道
小梯	楼梯间
小室	室内
小门外	公共区域
小门厅	门厅
小门内	公共区域
小门里	公共区域
小门	公共区域
小库房	仓库
小客厅	客厅
小儿童房	儿童房
小道	通道
小车库	车库
小北卧	卧室
消控室	其他功能房间
消防系统内	消防系统
消防通廊	通道
消防梯间	消防系统
消防梯	消防系统
消防室	消防系统
消防门内	消防系统
消防门	消防系统
消防楼	消防系统
消防间	消防系统
消防电话系统	消防系统
消防道	消防系统
闲厅	门厅
洗澡室	卫生间
洗澡区域	卫生间
洗澡区	卫生间
洗澡房里	卫生间
洗澡房间	卫生间
洗浴间	卫生间
